source,target
317,2887
495,2887
779,2887
887,2887
1166,2887
1379,2887
2140,2887
2683,2887
2887,3969
2887,7012
2887,8748
2887,6716
2887,9100
2887,5925
2887,5990
2887,9046
2887,6908
2887,7419
2887,3226
2887,3365
2887,8327
2887,4979
2887,7067
2887,7682
2887,7880
2887,8546
2887,8046
2887,4728
2887,8995
2887,6169
2887,6045
2887,6153
2887,5277
2887,7809
2887,7376
2887,7410
2887,4514
699,8112
923,8112
961,8112
1086,8112
1091,8112
1450,8112
2089,8112
2789,8112
3075,8112
3282,8112
3345,8112
4095,8112
4270,8112
4304,8112
4987,8112
5060,8112
5064,8112
5150,8112
5166,8112
5237,8112
5406,8112
5694,8112
6431,8112
6493,8112
6513,8112
6554,8112
6773,8112
7436,8112
7653,8112
7810,8112
7869,8112
7953,8112
8112,8748
8112,9436
8112,9426
8112,8803
8112,9158
8112,8571
8112,8476
271,8047
292,8047
705,8047
1709,8047
1862,8047
2206,8047
2733,8047
3053,8047
4794,8047
4872,8047
4998,8047
5007,8047
5091,8047
5334,8047
5968,8047
6195,8047
6444,8047
6455,8047
6995,8047
7300,8047
7613,8047
7658,8047
7978,8047
8047,8631
8047,8430
8047,8322
8047,8799
8047,8803
8047,8593
8047,8374
8047,8474
8047,8299
8047,8328
8047,8251
268,5060
699,5060
923,5060
1086,5060
1927,5060
2015,5060
2082,5060
2232,5060
2767,5060
2789,5060
3075,5060
3268,5060
3345,5060
3613,5060
4095,5060
4270,5060
4682,5060
4865,5060
5060,8112
5060,8748
5060,6431
5060,6513
5060,5694
5060,5237
5060,9436
5060,7436
5060,6554
5060,8476
5060,5166
5060,7653
5060,5410
5060,8695
5060,5746
5060,5759
5060,7628
135,3365
204,3365
495,3365
565,3365
724,3365
1197,3365
1435,3365
1524,3365
2140,3365
2321,3365
2683,3365
2739,3365
2846,3365
2887,3365
3226,3365
3365,9106
3365,4080
3365,6750
3365,6431
3365,3636
3365,8701
3365,5905
3365,7763
3365,5925
3365,5990
3365,9046
3365,6908
3365,7419
3365,8327
3365,4979
3365,7067
3365,7682
3365,7880
