source,target
181,8177
4744,8177
6757,8177
7293,8177
8177,8221
20,3328
70,3328
143,3328
234,3328
376,3328
545,3328
614,3328
630,3328
740,3328
845,3328
909,3328
974,3328
1350,3328
1355,3328
1538,3328
1574,3328
1778,3328
1811,3328
1892,3328
1995,3328
2168,3328
2488,3328
2489,3328
2596,3328
2684,3328
2771,3328
2855,3328
2875,3328
2987,3328
3077,3328
3158,3328
3178,3328
3182,3328
3266,3328
3328,8258
3328,7749
3328,8455
3328,4047
3328,5304
3328,7817
3328,6952
3328,8109
3328,9044
3328,7047
3328,4933
3328,3853
3328,8207
3328,3701
3328,7022
3328,4179
3328,6197
3328,4272
3328,3400
3328,4783
3328,9466
3328,6229
3328,6522
3328,8599
3328,4286
3328,9170
3328,9407
3328,5333
3328,9066
3328,8295
3328,4501
3328,9176
3328,4759
3328,5733
3328,8999
3328,6466
3328,7566
3328,6075
3328,7914
3328,5425
3328,5055
3328,6855
3328,6495
3328,7913
3328,5847
3328,9134
3328,4184
3328,6204
3328,8320
9,927
60,927
101,927
118,927
132,927
201,927
209,927
213,927
286,927
302,927
358,927
366,927
375,927
394,927
405,927
420,927
438,927
527,927
575,927
589,927
661,927
680,927
718,927
776,927
796,927
844,927
892,927
908,927
927,1881
927,7627
927,6588
927,5915
927,3525
927,7784
927,7909
927,7830
927,5180
927,4353
927,9006
927,8874
927,7454
927,3473
927,9303
927,5467
927,5921
927,3905
927,9217
927,935
927,2130
927,1247
927,4378
927,8224
927,3464
927,7569
927,2012
927,7928
927,2508
927,4462
927,5038
927,5508
927,7542
927,2086
927,6596
927,7930
927,4741
927,1508
927,8703
927,2908
927,1002
927,8468
927,6972
927,2397
927,7629
927,1456
927,5013
927,1099
927,2664
927,5918
927,6141
927,4726
927,5378
927,5806
927,1384
927,3389
927,8258
927,7160
927,1612
927,8170
927,2092
927,4094
927,1813
927,7861
927,4705
927,6901
927,8185
927,8286
927,6102
927,8507
927,6812
927,8383
927,6326
927,8479
927,1141
927,6212
927,2165
927,3326
927,7548
927,2260
927,6435
927,5121
927,4432
927,9002
927,2647
927,8381
927,7704
927,5355
927,6255
927,4927
927,7277
927,3519
927,2693
927,4689
927,1992
927,7095
927,6034
927,4426
927,8826
927,2637
927,3438
927,6874
927,5456
927,2486
927,1801
927,5048
927,3775
927,7079
927,2520
927,2167
927,8489
927,9338
927,8580
927,6243
927,3114
927,3994
927,1046
927,9103
927,9107
927,8243
927,5325
927,6264
927,3196
927,5691
927,4361
927,2920
927,6170
927,1190
927,5870
927,9201
927,2039
927,3193
927,1717
927,9356
927,5329
927,8755
927,1043
927,6523
927,1156
927,6888
927,7934
927,7979
927,4724
927,8219
927,7525
927,7134
927,8830
927,1797
927,5273
927,1505
927,3646
927,7762
927,1137
927,4341
927,9383
927,9259
927,7956
927,2557
927,7094
927,4306
927,6865
927,5601
927,3253
927,7734
927,2871
927,9029
927,2058
927,6962
927,4158
927,3307
927,7573
927,2402
927,8813
927,2836
927,5676
927,3298
927,1843
927,1871
927,5444
927,7240
927,1294
927,1427
927,3876
927,5582
927,2536
927,8901
927,5686
927,3710
927,3924
927,1024
927,1706
927,4058
927,2016
927,1920
927,5114
927,6900
927,7677
927,6425
927,6245
927,3826
927,2702
927,8486
927,7694
927,7303
927,3069
927,2877
927,1565
927,8967
927,3354
927,3030
927,3874
927,8927
927,8325
927,2680
927,6332
927,3278
927,4595
927,3919
927,8632
927,8992
927,3465
927,9347
927,8370
927,1745
927,3071
927,4932
927,7195
927,3025
927,3331
927,2856
59,7349
857,7349
894,7349
1318,7349
1356,7349
1466,7349
1536,7349
1566,7349
1668,7349
1677,7349
2352,7349
2642,7349
3029,7349
3408,7349
3468,7349
3791,7349
4155,7349
5451,7349
5490,7349
5887,7349
6415,7349
6784,7349
7349,9476
7349,9096
7349,7837
181,8221
643,8221
831,8221
1583,8221
1921,8221
2012,8221
2205,8221
2451,8221
2586,8221
2645,8221
2778,8221
3022,8221
3403,8221
3838,8221
3987,8221
4023,8221
4162,8221
4272,8221
4501,8221
4617,8221
4632,8221
4724,8221
4744,8221
4759,8221
4914,8221
5238,8221
5292,8221
5602,8221
5657,8221
5779,8221
5893,8221
6453,8221
6657,8221
6757,8221
6923,8221
6936,8221
7088,8221
7111,8221
7293,8221
7331,8221
7465,8221
7670,8221
7678,8221
7734,8221
7784,8221
7831,8221
7861,8221
8177,8221
8182,8221
8221,8637
8221,8638
8221,8286
8221,8760
8221,8235
8221,8682
8221,9346
48,4571
61,4571
94,4571
236,4571
1094,4571
1642,4571
1771,4571
2308,4571
2358,4571
3414,4571
3616,4571
3687,4571
3902,4571
4054,4571
4277,4571
4571,7563
4571,5475
4571,7854
4571,8636
4571,9376
4571,8437
4571,7555
4571,8691
4571,8657
4571,8239
4571,6167
4571,7141
4571,8676
4571,7115
4571,6798
4571,6942
2892,9105
2964,9105
3228,9105
5282,9105
6992,9105
7487,9105
7670,9105
7672,9105
8160,9105
9105,9268
300,9019
521,9019
1170,9019
1577,9019
1783,9019
2399,9019
3281,9019
3322,9019
3665,9019
3812,9019
3869,9019
4078,9019
6086,9019
6160,9019
6277,9019
7340,9019
7691,9019
7910,9019
8347,9019
8377,9019
8643,9019
8903,9019
8946,9019
8983,9019
9019,9257
9019,9340
18,2754
33,2754
108,2754
224,2754
238,2754
394,2754
431,2754
655,2754
689,2754
776,2754
796,2754
804,2754
1002,2754
1043,2754
1052,2754
1053,2754
1064,2754
1099,2754
1127,2754
1141,2754
1310,2754
1360,2754
1402,2754
1596,2754
1646,2754
1664,2754
1711,2754
1813,2754
2025,2754
2086,2754
2165,2754
2167,2754
2392,2754
2493,2754
2573,2754
2680,2754
