nodeID,nodeLabel,Module class,PageRank
3210,2160760012,66,0.000391
8584,2163232706,5,0.000389
9072,2102163991,56,0.000363
7323,2100480808,5,0.000357
4275,2302828123,5,0.000354
8872,2174243577,40,0.000334
5053,2024571312,5,0.000331
7543,1235309970,49,0.000321
7875,2133328153,22,0.000319
2813,2733049099,36,0.00031
1415,2166858707,5,0.000307
4665,2283775359,54,0.000306
1915,299683292,46,0.000306
5162,2978803368,5,0.000305
6041,2280973966,5,0.000302
623,2923521387,5,0.0003
2154,1720417924,5,0.000299
1054,2255363631,29,0.000299
8360,2464347855,15,0.000296
8556,2439939308,25,0.000294
3963,2149938575,53,0.000294
520,2131717182,29,0.000293
3510,1280772218,49,0.000292
2782,2005158734,77,0.000292
6711,2045599449,51,0.000291
798,2066703253,5,0.00029
614,3160634875,5,0.000288
6983,97877386,32,0.000284
3654,1452385511,8,0.000283
4670,2025623229,5,0.000281
1534,2153128419,5,0.000281
1158,2121069627,35,0.000281
6058,1844950397,22,0.000279
2477,1154988903,5,0.000278
9219,2394853576,8,0.000277
6667,1963575078,2,0.000276
7170,1982742620,8,0.000272
1365,1972423184,58,0.000272
8582,2093714155,5,0.00027
8247,705222334,8,0.00027
4314,2124564655,5,0.000267
8783,108138892,5,0.000266
1713,2014161052,40,0.000266
997,2310322123,12,0.000266
8664,1243576398,1,0.000266
4498,2143820374,81,0.000265
17,196892631,5,0.000264
7376,213013463,5,0.000264
5328,2149334469,53,0.000264
9028,337341218,42,0.000264
2752,2112668893,52,0.000263
4078,2075106902,5,0.000262
1951,2113491059,5,0.000261
4463,760526998,32,0.000261
4612,2115059186,61,0.000261
1771,2254689313,12,0.000259
7003,2224228731,61,0.000259
5846,2056740440,49,0.000259
2894,2165135620,35,0.000257
4761,1889673066,5,0.000256
1861,1999052458,13,0.000255
2675,2134517984,24,0.000254
5716,2235405679,22,0.000254
6666,2734673657,49,0.000253
3178,2137305138,31,0.000251
4669,2646741745,56,0.000251
1048,2118575078,5,0.00025
8396,2078828509,8,0.000248
6107,2469039595,79,0.000248
3037,2104881321,16,0.000247
6181,716274308,37,0.000246
8762,1970785252,1,0.000246
2191,2129504740,40,0.000246
269,2006388513,5,0.000245
8450,2132203867,32,0.000245
4232,835450655,50,0.000244
4613,1983903076,35,0.000243
8043,2974494450,32,0.000242
6832,2123104978,5,0.000241
4151,2163506910,8,0.000241
7723,2168150853,14,0.000241
3261,2174234087,40,0.000241
1069,1120868789,32,0.000241
6186,2950049662,5,0.000239
2859,2158845740,46,0.000239
7561,2151032141,79,0.000238
668,3038092217,1,0.000238
3339,643763588,52,0.000238
2672,1998563527,5,0.000237
2620,2133911299,5,0.000236
3143,2306514791,13,0.000236
1874,2057563923,22,0.000236
8961,2171231040,30,0.000235
7243,2307673999,8,0.000233
8793,2601704434,22,0.000233
1085,2244833322,22,0.000233
1478,2226595486,38,0.000232
3374,164956971,5,0.000231
6029,2005615643,8,0.000231
8986,1966053978,50,0.000231
6151,2126461038,16,0.00023
2487,2133698178,40,0.00023
5527,305515950,24,0.00023
8691,262801739,32,0.00023
2290,1766682891,5,0.000229
4257,2137401076,14,0.000229
