source,target,value
n1-0,n2-29,44
n1-1,n2-9,180
n1-2,n2-27,186
n1-2,n2-30,7
n1-3,n2-7,68
n1-4,n2-39,47
n1-4,n2-85,78
n1-5,n2-21,22
n1-6,n2-92,110
n1-7,n2-2,433
n1-7,n2-29,1
n1-7,n2-42,5
n1-7,n2-53,4
n1-7,n2-55,18
n1-7,n2-59,16
n1-7,n2-64,8
n1-7,n2-71,17
n1-7,n2-74,4
n1-7,n2-76,8
n1-8,n2-16,56
n1-9,n2-38,120
n1-9,n2-94,129
n1-10,n2-10,127
n1-10,n2-56,152
n1-11,n2-28,22
n1-11,n2-82,12
n1-11,n2-84,77
n1-12,n2-23,159
n1-13,n2-11,17
n1-13,n2-33,245
n1-13,n2-63,13
n1-14,n2-13,43
n1-15,n2-66,95
n1-16,n2-83,135
n1-17,n2-40,76
n1-18,n2-48,18
n1-19,n2-10,39
n1-19,n2-20,79
n1-19,n2-75,8
n1-20,n2-87,74
n1-21,n2-45,92
n1-22,n2-5,44
n1-22,n2-15,195
n1-23,n2-67,39
n1-24,n2-0,72
n1-25,n2-11,42
n1-26,n2-50,47
n1-27,n2-19,31
n1-28,n2-61,11
n1-29,n2-51,61
n1-30,n2-18,116
n1-31,n2-8,3
n1-31,n2-9,36
n1-31,n2-20,18
n1-31,n2-75,81
n1-32,n2-53,21
n1-33,n2-8,7
n1-33,n2-30,43
n1-33,n2-80,165
n1-34,n2-41,15
n1-35,n2-1,15
n1-36,n2-0,4
n1-36,n2-24,90
n1-37,n2-65,93
n1-38,n2-26,49
n1-38,n2-35,83
n1-39,n2-53,11
n1-40,n2-2,1
n1-40,n2-36,110
n1-40,n2-57,43
n1-40,n2-86,1
n1-41,n2-73,51
n1-42,n2-52,170
n1-43,n2-2,10
n1-44,n2-88,9
n1-45,n2-53,7
n1-46,n2-47,5
n1-47,n2-5,152
n1-48,n2-5,8
n1-48,n2-46,178
n1-48,n2-50,9
n1-49,n2-78,42
n1-50,n2-17,247
n1-51,n2-34,68
n1-51,n2-86,24
n1-51,n2-92,3
n1-52,n2-86,49
n1-52,n2-93,90
n1-53,n2-8,64
n1-53,n2-10,7
n1-53,n2-81,63
n1-53,n2-95,4
n1-54,n2-91,99
n1-55,n2-68,12
n1-56,n2-72,10
n1-57,n2-81,50
n1-58,n2-53,7
n1-59,n2-32,60
n1-60,n2-14,90
n1-61,n2-31,68
n1-62,n2-22,82
n1-63,n2-69,96
n1-63,n2-70,84
n1-64,n2-3,133
n1-64,n2-54,31
n1-64,n2-90,59
n1-65,n2-50,237
n1-65,n2-84,98
n1-66,n2-58,66
n1-67,n2-89,133
n1-68,n2-95,28
n1-69,n2-43,15
n1-70,n2-9,9
n1-70,n2-75,125
n1-70,n2-83,15
n1-70,n2-95,57
n1-71,n2-12,55
n1-72,n2-44,90
n1-73,n2-37,33
n1-74,n2-2,2
n1-74,n2-13,238
n1-75,n2-6,15
n1-76,n2-34,56
n1-77,n2-79,89
n1-78,n2-2,18
n1-78,n2-49,5
n1-78,n2-77,5
n1-79,n2-4,61
n1-80,n2-86,1
n1-81,n2-8,10
n1-81,n2-30,275
n1-81,n2-80,1
n1-82,n2-62,32
n1-82,n2-73,219
n1-83,n2-25,121
n1-83,n2-27,40
n1-83,n2-89,1
n1-83,n2-94,7
n1-84,n2-8,166
n1-85,n2-60,178
